               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10144,            0.024823,                   0,                   0,                   0,                   0,                   0,             0.13867,            0.018845,                   0,             0.08545,             0.00045,             0.00045
                   1,            0.097911,            0.020537,                   0,                   0,                   0,                   0,                   0,             0.13594,            0.015139,                   0,            0.069921,          0.00092079,          0.00092079
                   2,            0.094486,            0.016887,                   0,                   0,                   0,                   0,                   0,             0.12743,            0.012694,                   0,            0.054382,           0.0013821,           0.0013821
                   3,            0.089825,            0.014123,                   0,          7.8431e-05,            0.020619,          4.0259e-05,          6.0139e-06,             0.12283,            0.011658,                   0,            0.038834,           0.0018339,           0.0018339
                   4,            0.083588,            0.012644,                   0,          3.9216e-05,            0.010309,          2.2507e-05,          6.7521e-06,             0.11452,            0.010665,                   0,            0.023276,           0.0022761,           0.0022761
                   5,            0.075781,            0.012065,                   0,          0.00047059,             0.12371,          0.00028791,          7.4515e-05,             0.10269,           0.0099799,                   0,           0.0077089,           0.0027089,           0.0027089
                   6,            0.067243,             0.01181,                   0,          0.00086275,              0.2268,          0.00075966,          0.00018093,              0.1074,           0.0096614,                   0,           0.0028218,           0.0028218,           0.0028218
                   7,            0.064354,            0.011696,                   0,           0.0012549,              0.3299,           0.0015439,          0.00034991,            0.086913,           0.0095682,                   0,           0.0028218,           0.0028218,           0.0028218
                   8,            0.056324,            0.011623,                   0,           0.0014902,             0.39175,           0.0042525,          0.00092928,            0.080484,           0.0099061,                   0,           0.0027921,           0.0027921,           0.0027921
                   9,            0.052169,            0.011892,                   0,               0.002,             0.52577,            0.004875,           0.0013515,            0.072547,            0.010345,                   0,           0.0027624,           0.0027624,           0.0027624
                  10,            0.047412,            0.011828,                   0,           0.0015686,             0.41237,           0.0035018,           0.0012394,            0.073986,              0.0107,                   0,           0.0027327,           0.0027327,           0.0027327
                  11,            0.046021,            0.011914,                   0,           0.0020392,             0.53608,            0.003168,           0.0009599,             0.07245,            0.010594,                   0,            0.002703,            0.002703,            0.002703
                  12,            0.044352,            0.011834,                   0,           0.0023529,             0.61856,           0.0060012,           0.0016585,            0.070968,             0.01054,                   0,           0.0026733,           0.0026733,           0.0026733
                  13,            0.042782,            0.011705,                   0,           0.0027567,             0.72165,           0.0081007,           0.0029508,             0.06529,            0.010472,                   0,           0.0026436,           0.0026436,           0.0026436
                  14,             0.03723,            0.011676,                   0,            0.002788,             0.73196,           0.0092968,           0.0032948,            0.069918,            0.010278,                   0,           0.0026139,           0.0026139,           0.0026139
